serial   ,band   ,ssid           ,wireless_mode,channel,bandwidth   ,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type,wpa_encrypt,passwd_index,protect_frame
21,2.4G,Tplinkwr842_2.4G#$,11n only,7,40MHz,WPA2-PSK,12345678,tx rx    ,TCP          ,,,否,,,,
22,2.4G,Tplinkwr842_2.4G#$,11bg mixed,8,20MHz,OPEN,,tx rx    ,TCP          ,,,否,,,,
23,2.4G,Tplinkwr842_2.4G#$,11bg mixed,9,20MHz,WPA-PSK,12345678,tx rx    ,TCP          ,,,否,,TKIP,,
24,2.4G,Tplinkwr842_2.4G#$,11bg mixed,10,20MHz,WPA2-PSK,12345678,tx rx    ,TCP          ,,,否,,AES,,
25,2.4G,Tplinkwr842_2.4G#$,11bg mixed,11,20MHz,WPA-PSK,12345678,tx rx    ,TCP          ,,,否,,TKIP,,
26,2.4G,Tplinkwr842_2.4G#$,11bg mixed,2,20MHz,WPA2-PSK,12345678,tx rx    ,TCP          ,,,否,,AES,,
27,2.4G,Tplinkwr842_2.4G#$,11bg mixed,7,20MHz,开放系统,,tx rx    ,TCP          ,十六进制,1234567890,否,,,,
28,2.4G,Tplinkwr842_2.4G#$,11bg mixed,1,20MHz,开放系统,,tx rx    ,TCP          ,十六进制,12345678901234567890123456,否,,,,
29,2.4G,Tplinkwr842_2.4G#$,11bg mixed,2,20MHz,共享秘钥,,tx rx    ,TCP          ,ASCII码,12345,否,,,,
30,2.4G,Tplinkwr842_2.4G#$,11bg mixed,3,20MHz,共享秘钥,,tx rx    ,TCP          ,ASCII码,1234567890123,否,,,,
31,2.4G,Tplinkwr842_2.4G#$,11bgn mixed,4,自动,OPEN,,tx rx    ,TCP          ,,,否,,,,
32,2.4G,Tplinkwr842_2.4G#$,11bgn mixed,5,20MHz,WPA-PSK,12345678,tx rx    ,TCP          ,,,否,,TKIP,,
33,2.4G,Tplinkwr842_2.4G#$,11bgn mixed,6,40MHz,WPA2-PSK,12345678,tx rx    ,TCP          ,,,否,,AES,,
34,2.4G,Tplinkwr842_2.4G#$,11bgn mixed,7,自动,WPA-PSK,12345678,tx rx    ,TCP          ,,,否,,TKIP,,
35,2.4G,Tplinkwr842_2.4G#$,11bgn mixed,8,20MHz,WPA2-PSK,12345678,tx rx    ,TCP          ,,,否,,AES,,
36,2.4G,Tplinkwr842_2.4G#$,11bgn mixed,9,40MHz,开放系统,,tx rx    ,TCP          ,十六进制,1234567890,否,,,,
37,2.4G,Tplinkwr842_2.4G#$,11bgn mixed,10,自动,开放系统,,tx rx    ,TCP          ,十六进制,12345678901234567890123456,否,,,,
38,2.4G,Tplinkwr842_2.4G#$,11bgn mixed,11,20MHz,共享秘钥,,tx rx    ,TCP          ,ASCII码,12345,否,,,,
39,2.4G,Tplinkwr842_2.4G#$,11bgn mixed,4,40MHz,共享秘钥,,tx rx    ,TCP          ,ASCII码,1234567890123,否,,,,
