serial    ,band   ,ssid        ,wireless_mode,channel,bandwidth,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
18,2.4 GHz,H3CBX54_2.4G,n-only       ,3,自动      ,WPA2-PSK/WPA3-SAE混合   ,12345678,tx rx    ,TCP          ,           ,          ,是        ,SAE
19,2.4 GHz,H3CBX54_2.4G,n-only       ,4,自动      ,不加密                  ,          ,tx rx    ,TCP          ,           ,          ,否        ,
20,2.4 GHz,H3CBX54_2.4G,b+g+n        ,5,20M      ,WPA2-PSK               ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
21,2.4 GHz,H3CBX54_2.4G,b+g+n        ,6,20M      ,WPA-PSK/WPA2-PSK混合    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
22,2.4 GHz,H3CBX54_2.4G,b+g+n        ,7,20M      ,WPA2-PSK/WPA3-SAE混合   ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
23,2.4 GHz,H3CBX54_2.4G,b+g+n        ,8,20M      ,不加密                  ,           ,tx rx    ,TCP          ,           ,          ,否        ,
24,2.4 GHz,H3CBX54_2.4G,b+g+n        ,9,40M      ,WPA2-PSK               ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
25,2.4 GHz,H3CBX54_2.4G,b+g+n        ,10,40M      ,WPA-PSK/WPA2-PSK混合    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
26,2.4 GHz,H3CBX54_2.4G,b+g+n        ,11,40M      ,WPA2-PSK/WPA3-SAE混合   ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
27,2.4 GHz,H3CBX54_2.4G,b+g+n        ,2,40M      ,WPA2-PSK               ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
28,2.4 GHz,H3CBX54_2.4G,b+g+n        ,3,40M     ,WPA-PSK/WPA2-PSK混合     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
29,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,1,自动      ,不加密                   ,          ,tx rx    ,TCP          ,           ,          ,否        ,
30,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,1,20M      ,WPA2-PSK               ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
31,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,2,40M      ,WPA-PSK/WPA2-PSK混合    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
32,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,2,自动      ,WPA2-PSK/WPA3-SAE混合     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
33,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,3,20M      ,不加密                   ,        ,tx rx    ,TCP          ,           ,          ,否        ,
34,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,3,40M      ,WPA2-PSK               ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
35,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,4,自动      ,WPA-PSK/WPA2-PSK混合       ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
36,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,4,20M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
37,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,5,40M      ,不加密                   ,         ,tx rx    ,TCP          ,           ,          ,否        ,
38,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,5,自动      ,WPA2-PSK               ,12345678,tx rx    ,TCP          ,           ,          ,是        ,PSK
39,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,6,20M      ,WPA-PSK/WPA2-PSK混合    ,12345678,tx rx    ,TCP          ,           ,          ,是        ,PSK
40,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,6,40M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
41,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,7,自动      ,不加密                   ,       ,tx rx    ,TCP          ,           ,          ,否        ,
42,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,7,20M      ,WPA2-PSK                ,12345678,tx rx    ,TCP           ,           ,          ,否        ,
43,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,8,40M      ,WPA-PSK/WPA2-PSK混合     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
44,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,8,自动      ,WPA2-PSK/WPA3-SAE混合     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
45,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,9,20M      ,不加密                     ,         ,tx rx    ,TCP          ,           ,          ,否        ,
46,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,9,40M      ,WPA2-PSK                ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
47,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,10,自动      ,WPA-PSK/WPA2-PSK混合      ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
48,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,10,20M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
49,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,11,40M      ,不加密                     ,       ,tx rx    ,TCP           ,           ,          ,否        ,
50,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,11,自动      ,WPA2-PSK              ,12345678,tx rx    ,TCP           ,           ,          ,否        ,
51,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,4,20M      ,WPA-PSK/WPA2-PSK混合     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
52,2.4 GHz,H3CBX54_2.4G,b+g+n+ax     ,5,40M      ,WPA2-PSK/WPA3-SAE混合     ,12345678,tx rx    ,TCP          ,           ,          ,否        ,
53,5 GHz  ,H3CBX54_5G  ,a+n          ,AUTO   ,自动      ,不加密                   ,           ,rx tx    ,TCP          ,           ,          ,否        ,
54,5 GHz  ,H3CBX54_5G  ,a+n          ,36,自动      ,WPA2-PSK               ,12345678,rx tx     ,TCP          ,          ,          ,否        ,
55,5 GHz  ,H3CBX54_5G  ,a+n          ,40,自动      ,WPA-PSK/WPA2-PSK混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
56,5 GHz  ,H3CBX54_5G  ,a+n          ,44,自动      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
57,5 GHz  ,H3CBX54_5G  ,a+n          ,48,20M      ,不加密                   ,        ,rx tx    ,TCP          ,           ,          ,是        ,NONE
58,5 GHz  ,H3CBX54_5G  ,a+n          ,52,20M      ,WPA2-PSK               ,12345678,rx tx    ,TCP          ,           ,          ,是        ,PSK
59,5 GHz  ,H3CBX54_5G  ,a+n          ,56,20M      ,WPA-PSK/WPA2-PSK混合    ,12345678,rx tx    ,TCP          ,           ,          ,是        ,PSK
60,5 GHz  ,H3CBX54_5G  ,a+n          ,60,20M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,是        ,PSK
61,5 GHz  ,H3CBX54_5G  ,a+n          ,64,40M      ,不加密                   ,           ,rx tx    ,TCP          ,           ,          ,否        ,
62,5 GHz  ,H3CBX54_5G  ,a+n          ,149,40M      ,WPA2-PSK               ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
63,5 GHz  ,H3CBX54_5G  ,a+n          ,153,40M      ,WPA-PSK/WPA2-PSK混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
64,5 GHz  ,H3CBX54_5G  ,a+n          ,157,40M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
65,5 GHz  ,H3CBX54_5G  ,a+n          ,161,40M      ,不加密                   ,          ,rx tx    ,TCP          ,           ,          ,否        ,
66,5 GHz  ,H3CBX54_5G  ,a+n          ,165,40M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
67,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,AUTO   ,自动      ,不加密                   ,           ,rx tx    ,TCP          ,           ,        ,否        ,
68,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,36,自动      ,WPA2-PSK               ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
69,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,40,自动      ,WPA-PSK/WPA2-PSK混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
70,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,44,自动      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
71,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,48,20M      ,不加密                   ,           ,rx tx    ,TCP          ,           ,          ,否        ,
72,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,52,20M      ,WPA2-PSK               ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
73,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,56,20M      ,WPA-PSK/WPA2-PSK混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
74,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,60,20M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
75,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,64,40M      ,不加密                   ,           ,rx tx    ,TCP          ,           ,         ,是        ,NONE
76,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,149,40M      ,WPA2-PSK               ,12345678,rx tx    ,TCP          ,           ,          ,是        ,PSK
77,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,153,40M      ,WPA-PSK/WPA2-PSK混合    ,12345678,rx tx    ,TCP          ,           ,          ,是        ,PSK
78,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,157,40M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,是        ,PSK
79,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,161,80M      ,不加密                   ,          ,rx tx    ,TCP          ,           ,          ,否        ,
80,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,165,80M      ,WPA2-PSK              ,12345678,rx tx    ,TCP            ,           ,          ,否        ,
81,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,36,80M       ,WPA-PSK/WPA2-PSK混合     ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
82,5 GHz  ,H3CBX54_5G  ,a+n+ac          ,149,80M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
83,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,AUTO   ,自动      ,不加密                   ,           ,rx tx    ,TCP          ,           ,          ,否        ,
84,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,36,自动      ,WPA2-PSK               ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
85,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,40,自动      ,WPA-PSK/WPA2-PSK混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
86,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,44,自动      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
87,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,48,20M      ,不加密                   ,           ,rx tx    ,TCP          ,           ,          ,否        ,
88,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,52,20M      ,WPA2-PSK               ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
89,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,56,20M      ,WPA-PSK/WPA2-PSK混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
90,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,60,20M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
91,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,64,40M      ,不加密                   ,        ,rx tx    ,TCP          ,           ,          ,否        ,
92,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,149,40M      ,WPA2-PSK               ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
93,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,153,40M      ,WPA-PSK/WPA2-PSK混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
94,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,157,40M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
95,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,161,80M      ,不加密                   ,          ,rx tx    ,TCP          ,           ,          ,否        ,
96,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,165,80M      ,WPA2-PSK                 ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
97,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,48,80M       ,WPA-PSK/WPA2-PSK混合     ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
98,5 GHz  ,H3CBX54_5G  ,a+n+ac+ax          ,161,80M      ,WPA2-PSK/WPA3-SAE混合    ,12345678,rx tx    ,TCP          ,           ,          ,否        ,
