serial,band,ssid,wireless_mode,channel,bandwidth,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type,wpa_encrypt,passwd_index,protect_frame
28,5G,Asusea6700_5G,自动,44,20 MHz,Open System,,tx rx,TCP,,,否,,,,
29,5G,Asusea6700_5G,自动,48,20 MHz,WPA2-Personal,12345678,tx rx,TCP,,,否,,,,
30,5G,Asusea6700_5G,自动,149,20 MHz,WPA-Auto-Personal,12345678,tx rx,TCP,,,否,,,,
31,5G,Asusea6700_5G,自动,153,40 MHz,Open System,,tx rx,TCP,,,否,,,,
32,5G,Asusea6700_5G,自动,157,40 MHz,WPA2-Personal,12345678,tx rx,TCP,,,否,,,,
33,5G,Asusea6700_5G,自动,161,40 MHz,WPA-Auto-Personal,12345678,tx rx,TCP,,,否,,,,
34,5G,Asusea6700_5G,自动,153,80 MHz,Open System,,tx rx,TCP,,,否,,,,
35,5G,Asusea6700_5G,自动,157,80 MHz,WPA2-Personal,12345678,tx rx,TCP,,,否,,,,
36,5G,Asusea6700_5G,自动,161,80 MHz,WPA-Auto-Personal,12345678,tx rx,TCP,,,否,,,,
37,5G,Asusea6700_5G,N/AC mixed,自动,20/40/80 MHz,Open System,,tx rx,TCP,,,否,,,,
38,5G,Asusea6700_5G,N/AC mixed,36,20/40/80 MHz,WPA2-Personal,12345678,tx rx,TCP,,,否,,,,
39,5G,Asusea6700_5G,N/AC mixed,40,20/40/80 MHz,WPA-Auto-Personal,12345678,tx rx,TCP,,,否,,,,
40,5G,Asusea6700_5G,N/AC mixed,44,20 MHz,Open System,,tx rx,TCP,,,否,,,,
41,5G,Asusea6700_5G,N/AC mixed,48,20 MHz,WPA2-Personal,12345678,tx rx,TCP,,,是,PSK,,,
42,5G,Asusea6700_5G,N/AC mixed,149,20 MHz,WPA-Auto-Personal,12345678,tx rx,TCP,,,否,,,,
43,5G,Asusea6700_5G,N/AC mixed,153,40 MHz,Open System,,tx rx,TCP,,,否,,,,
44,5G,Asusea6700_5G,N/AC mixed,157,40 MHz,WPA2-Personal,12345678,tx rx,TCP,,,否,,,,
45,5G,Asusea6700_5G,N/AC mixed,161,40 MHz,WPA-Auto-Personal,12345678,tx rx,TCP,,,否,,,,
46,5G,Asusea6700_5G,N/AC mixed,153,80 MHz,Open System,,tx rx,TCP,,,否,,,,
47,5G,Asusea6700_5G,N/AC mixed,157,80 MHz,WPA2-Personal,12345678,tx rx,TCP,,,否,,,,
48,5G,Asusea6700_5G,N/AC mixed,161,80 MHz,WPA-Auto-Personal,12345678,tx rx,TCP,,,是,AES,,,
49,5G,Asusea6700_5G,Legacy,自动,20 MHz,Open System,,tx rx,TCP,,,否,,,,
50,5G,Asusea6700_5G,Legacy,36,20 MHz,WPA2-Personal,12345678,tx rx,TCP,,,否,,,,
51,5G,Asusea6700_5G,Legacy,40,20 MHz,WPA-Auto-Personal,12345678,tx rx,TCP,,,否,,,,
52,5G,Asusea6700_5G,Legacy,44,20 MHz,WPA-Personal,12345678,tx rx,TCP,,,否,,,,
53,5G,Asusea6700_5G,Legacy,48,20 MHz,Shared Key,,tx rx,TCP,WEP-64bits,12345,否,,,,
54,5G,Asusea6700_5G,Legacy,149,20 MHz,Shared Key,,tx rx,TCP,WEP-128bits,1234567890123,否,,,,
55,5G,Asusea6700_5G,Legacy,153,20 MHz,Open System,,tx rx,TCP,,,否,,,,
56,5G,Asusea6700_5G,Legacy,157,20 MHz,WPA2-Personal,12345678,tx rx,TCP,,,否,,,,
57,5G,Asusea6700_5G,Legacy,161,20 MHz,WPA-Auto-Personal,12345678,tx rx,TCP,,,否,,,,
