serial,band   ,ssid           ,wireless_mode,channel,bandwidth,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
15,2.4G,ASUSAX5400_2.4G,自动       ,8,20/40 MHz   ,WPA2/WPA3-Personal         ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
16,2.4G,ASUSAX5400_2.4G,自动       ,8,20 MHz      ,Open System         ,          ,tx rx    ,TCP          ,           ,        ,否         ,
17,2.4G,ASUSAX5400_2.4G,自动       ,9,40 MHz      ,WPA2-Personal    ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
18,2.4G,ASUSAX5400_2.4G,自动       ,9,20/40 MHz   ,WPA3-Personal    ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
19,2.4G,ASUSAX5400_2.4G,自动       ,10,20 MHz      ,WPA/WPA2-Personal   ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
20,2.4G,ASUSAX5400_2.4G,自动       ,10,40 MHz      ,WPA2/WPA3-Personal   ,12345678,tx rx    ,TCP          ,           ,        ,是         ,PSK
21,2.4G,ASUSAX5400_2.4G,自动       ,11,20/40 MHz   ,Open System           ,           ,tx rx    ,TCP          ,           ,        ,否         ,
22,2.4G,ASUSAX5400_2.4G,自动       ,11,20 MHz      ,WPA2-Personal           ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
23,2.4G,ASUSAX5400_2.4G,自动       ,1,40 MHz       ,WPA3-Personal         ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
24,2.4G,ASUSAX5400_2.4G,自动       ,6,20/40 MHz    ,WPA/WPA2-Personal        ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
25,2.4G,ASUSAX5400_2.4G,自动       ,11,40 MHz       ,WPA2/WPA3-Personal     ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
26,2.4G,ASUSAX5400_2.4G,自动       ,11,20/40 MHz   ,WPA3-Personal      ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
27,2.4G,ASUSAX5400_2.4G,N only    ,1,40 MHz      ,Open System             ,         ,tx rx    ,TCP          ,           ,        ,否         ,
28,2.4G,ASUSAX5400_2.4G,N only    ,2,20/40 MHz   ,WPA2-Personal           ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
29,2.4G,ASUSAX5400_2.4G,N only    ,3,20 MHz      ,WPA3-Personal           ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
30,2.4G,ASUSAX5400_2.4G,N only    ,4,40 MHz      ,WPA/WPA2-Personal      ,12345678,tx rx    ,TCP          ,           ,        ,否        ,
31,2.4G,ASUSAX5400_2.4G,N only    ,5,20/40 MHz   ,WPA2/WPA3-Personal     ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
32,2.4G,ASUSAX5400_2.4G,N only    ,6,20 MHz      ,Open System             ,          ,tx rx    ,TCP          ,           ,        ,否         ,
33,2.4G,ASUSAX5400_2.4G,N only    ,7,40 MHz      ,WPA2-Personal           ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
34,2.4G,ASUSAX5400_2.4G,N only    ,8,20/40 MHz   ,WPA3-Personal           ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
35,2.4G,ASUSAX5400_2.4G,N only    ,9,20 MHz      ,WPA/WPA2-Personal      ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
36,2.4G,ASUSAX5400_2.4G,N only    ,10,40 MHz     ,WPA2/WPA3-Personal     ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
37,2.4G,ASUSAX5400_2.4G,N only    ,11,20/40 MHz   ,Open System             ,          ,tx rx    ,TCP          ,           ,        ,否         ,
38,2.4G,ASUSAX5400_2.4G,N only    ,1,20 MHz       ,WPA2-Personal           ,12345678,tx rx    ,TCP          ,           ,        ,是         ,PSK
39,2.4G,ASUSAX5400_2.4G,N only    ,2,40 MHz       ,WPA3-Personal           ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
40,2.4G,ASUSAX5400_2.4G,N only    ,3,20 MHz        ,WPA/WPA2-Personal      ,12345678,tx rx    ,TCP          ,           ,        ,是         ,PSK
41,2.4G,ASUSAX5400_2.4G,Legacy    ,4,20 MHz       ,Open System              ,         ,tx rx    ,TCP          ,           ,        ,否         ,
42,2.4G,ASUSAX5400_2.4G,Legacy    ,5,20 MHz       ,Shared Key               ,         ,tx rx    ,TCP        ,WEP-64bits  ,12345,否         ,
43,2.4G,ASUSAX5400_2.4G,Legacy    ,6,20 MHz       ,Shared Key               ,         ,tx rx    ,TCP       ,WEP-128bits ,1234567890123,否         ,
44,2.4G,ASUSAX5400_2.4G,Legacy    ,7,20 MHz       ,WPA2-Personal            ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
45,2.4G,ASUSAX5400_2.4G,Legacy    ,8,20 MHz       ,WPA3-Personal            ,12345678,tx rx    ,TCP          ,           ,        ,否        ,
46,2.4G,ASUSAX5400_2.4G,Legacy    ,9,20 MHz       ,WPA/WPA2-Personal       ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
47,2.4G,ASUSAX5400_2.4G,Legacy    ,11,20 MHz      ,WPA2/WPA3-Personal      ,12345678,tx rx    ,TCP          ,           ,        ,否         ,
48,5G  ,ASUSAX5400_5G  ,自动       ,36,20 MHz      ,Open System              ,          ,rx tx    ,TCP          ,           ,        ,否         ,
49,5G  ,ASUSAX5400_5G  ,自动       ,40,40 MHz       ,WPA2-Personal           ,12345678,rx tx    ,TCP          ,           ,        ,是         ,PSK
50,5G  ,ASUSAX5400_5G  ,自动       ,44,80 MHz      ,WPA3-Personal            ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
51,5G  ,ASUSAX5400_5G  ,自动       ,48,20/40/80 MHz  ,WPA/WPA2-Personal       ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
52,5G  ,ASUSAX5400_5G  ,自动       ,36,20 MHz       ,WPA2/WPA3-Personal      ,12345678,rx tx    ,TCP          ,           ,        ,是         ,PSK
53,5G  ,ASUSAX5400_5G  ,自动       ,149,40 MHz       ,Open System               ,            ,rx tx    ,TCP          ,           ,        ,否         ,
54, 5G  ,ASUSAX5400_5G  ,自动       ,153,80 MHz       ,WPA2-Personal             ,12345678,rx tx    ,TCP          ,           ,        ,是         ,PSK
55,5G  ,ASUSAX5400_5G  ,自动       ,157,20/40/80 MHz  ,WPA3-Personal             ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
56,5G  ,ASUSAX5400_5G  ,自动       ,161,80 MHz        ,WPA/WPA2-Personal        ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
57,5G  ,ASUSAX5400_5G  ,AX only    ,36,20 MHz         ,WPA2/WPA3-Personal      ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
58,5G  ,ASUSAX5400_5G  ,AX only    ,36,40 MHz         ,Open System      ,       ,rx tx    ,TCP          ,           ,        ,否         ,
59,5G  ,ASUSAX5400_5G  ,AX only    ,40,80 MHz        ,WPA2-Personal     ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
60,5G  ,ASUSAX5400_5G  ,AX only    ,40,20/40/80 MHz   ,WPA3-Personal             ,12345678,rx tx    ,TCP          ,           ,        ,是         ,SAE
61,5G  ,ASUSAX5400_5G  ,AX only    ,44,20 MHz      ,WPA/WPA2-Personal            ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
62,5G  ,ASUSAX5400_5G  ,AX only    ,44,40 MHz      ,WPA2/WPA3-Personal             ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
63,5G  ,ASUSAX5400_5G  ,AX only    ,48,80 MHz      ,Open System         ,        ,rx tx    ,TCP          ,           ,        ,否         ,
64,5G  ,ASUSAX5400_5G  ,AX only    ,48,20/40/80 MHz     ,WPA2-Personal             ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
65,5G  ,ASUSAX5400_5G  ,AX only    ,100,20 MHz           ,WPA3-Personal        ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
66,5G  ,ASUSAX5400_5G  ,AX only    ,100,40 MHz           ,WPA/WPA2-Personal        ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
67,5G  ,ASUSAX5400_5G  ,AX only    ,149,80 MHz           ,WPA2/WPA3-Personal       ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
68,5G  ,ASUSAX5400_5G  ,AX only    ,149,20/40/80 MHz   ,Open System        ,         ,rx tx    ,TCP          ,           ,        ,否         ,
69,5G  ,ASUSAX5400_5G  ,AX only    ,153,20 MHz     ,WPA2-Personal    ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
70,5G  ,ASUSAX5400_5G  ,AX only    ,153,40 MHz     ,WPA3-Personal    ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
71,5G  ,ASUSAX5400_5G  ,AX only    ,157,80 MHz           ,WPA/WPA2-Personal             ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
72,5G  ,ASUSAX5400_5G  ,AX only    ,157,20/40/80 MHz     ,WPA2/WPA3-Personal             ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
73,5G  ,ASUSAX5400_5G  ,AX only    ,161,20 MHz           ,Open System     ,          ,rx tx    ,TCP          ,           ,        ,否         ,
74,5G  ,ASUSAX5400_5G  ,AX only    ,161,40 MHz           ,WPA2-Personal             ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
75,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,36,80 MHz          ,WPA3-Personal        ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
76,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,36,20/40/80 MHz     ,WPA/WPA2-Personal        ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
77,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,40,20 MHz    ,WPA2/WPA3-Personal        ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
78,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,40,40 MHz    ,Open System         ,       ,rx tx    ,TCP          ,           ,        ,是         ,NONE
79,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,44,80 MHz          ,WPA2-Personal     ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
80,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,44,20/40/80 MHz    ,WPA3-Personal        ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
81,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,48,20 MHz          ,WPA/WPA2-Personal        ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
82,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,48,40 MHz          ,WPA2/WPA3-Personal    ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
83,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,100,80 MHz         ,Open System        ,         ,rx tx    ,TCP          ,           ,        ,否         ,
84,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,100,20/40/80 MHz     ,WPA2-Personal         ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
85,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,149,20 MHz   ,WPA3-Personal    ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
86,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,149,40 MHz   ,WPA/WPA2-Personal    ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
87,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,153,80 MHz         ,WPA2/WPA3-Personal   ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
88,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,153,20/40/80 MHz   ,Open System   ,       ,rx tx    ,TCP          ,           ,        ,否         ,
89,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,157,20 MHz         ,WPA2-Personal      ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
90,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,157,40 MHz         ,WPA3-Personal      ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
91,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,161,80 MHz         ,WPA/WPA2-Personal        ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
92,5G  ,ASUSAX5400_5G  ,N/AC/AX mixed,161,20/40/80 MHz   ,WPA2/WPA3-Personal       ,12345678,rx tx    ,TCP          ,           ,        ,否         ,
93,5G  ,ASUSAX5400_5G  ,Legacy       ,36,20 MHz   ,Open System               ,          ,rx tx    ,TCP          ,           ,        ,否     ,
94,5G  ,ASUSAX5400_5G  ,Legacy       ,40,20 MHz   ,Shared Key               ,          ,rx tx    ,TCP          ,WEP-64bits ,12345,否     ,
95,5G  ,ASUSAX5400_5G  ,Legacy       ,44,20 MHz   ,Shared Key               ,          ,rx tx    ,TCP          ,WEP-128bits ,1234567890123,是         ,WEP
96,5G  ,ASUSAX5400_5G  ,Legacy       ,48,20 MHz   ,WPA2-Personal            ,12345678,rx tx    ,TCP          ,            ,        ,否         ,
97,5G  ,ASUSAX5400_5G  ,Legacy       ,36,20 MHz   ,WPA3-Personal           ,12345678,rx tx    ,TCP          ,            ,        ,否         ,
98,5G  ,ASUSAX5400_5G  ,Legacy       ,149,20 MHz   ,WPA/WPA2-Personal       ,12345678,rx tx    ,TCP          ,            ,        ,否         ,
99,5G  ,ASUSAX5400_5G  ,Legacy       ,153,20 MHz   ,WPA2/WPA3-Personal      ,12345678,rx tx    ,TCP          ,            ,        ,否         ,
100,5G  ,ASUSAX5400_5G  ,Legacy       ,157,20 MHz   ,WPA2-Personal            ,12345678,rx tx    ,TCP          ,            ,        ,否         ,
101,5G  ,ASUSAX5400_5G  ,Legacy       ,161,20 MHz   ,WPA3-Personal           ,12345678,rx tx    ,TCP          ,            ,        ,否         ,
