serial    ,band   ,ssid        ,wireless_mode,channel,bandwidth,authentication,wpa_passwd,test_type,protocol_type,wep_encrypt,wep_passwd,hide_ssid,hide_type
52,5 GHz,Linksys1200ac_5G,混合模式,153,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,rx tx,TCP,,,否,
53,5 GHz,Linksys1200ac_5G,混合模式,153,40 MHz,无,,rx tx,TCP,,,否,
54,5 GHz,Linksys1200ac_5G,混合模式,157,自动,WEP,,rx tx,TCP,40/64位（10个十六进制数字）,1234567890,否,
55,5 GHz,Linksys1200ac_5G,混合模式,157,仅使用20 MHz,WEP,,rx tx,TCP,40/64位（10个十六进制数字）,1234567890,否,
56,5 GHz,Linksys1200ac_5G,混合模式,161,自动,WPA2个人,12345678,rx tx,TCP,,,否,
57,5 GHz,Linksys1200ac_5G,混合模式,161,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,rx tx,TCP,,,否,
58,5 GHz,Linksys1200ac_5G,仅使用802.11ac,36,自动,无,,rx tx,TCP,,,否,
59,5 GHz,Linksys1200ac_5G,仅使用802.11ac,36,仅使用20 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
60,5 GHz,Linksys1200ac_5G,仅使用802.11ac,40,40 MHz,无,,rx tx,TCP,,,否,
61,5 GHz,Linksys1200ac_5G,仅使用802.11ac,40,80 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
62,5 GHz,Linksys1200ac_5G,仅使用802.11ac,44,自动,无,,rx tx,TCP,,,否,
63,5 GHz,Linksys1200ac_5G,仅使用802.11ac,44,仅使用20 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
64,5 GHz,Linksys1200ac_5G,仅使用802.11ac,48,40 MHz,无,,rx tx,TCP,,,否,
65,5 GHz,Linksys1200ac_5G,仅使用802.11ac,48,80 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
66,5 GHz,Linksys1200ac_5G,仅使用802.11ac,149,自动,无,,rx tx,TCP,,,否,
67,5 GHz,Linksys1200ac_5G,仅使用802.11ac,149,仅使用20 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
68,5 GHz,Linksys1200ac_5G,仅使用802.11ac,153,40 MHz,无,,rx tx,TCP,,,否,
69,5 GHz,Linksys1200ac_5G,仅使用802.11ac,153,80 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
70,5 GHz,Linksys1200ac_5G,仅使用802.11ac,157,自动,无,,rx tx,TCP,,,否,
71,5 GHz,Linksys1200ac_5G,仅使用802.11ac,157,仅使用20 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
72,5 GHz,Linksys1200ac_5G,仅使用802.11ac,161,40 MHz,无,,rx tx,TCP,,,否,
73,5 GHz,Linksys1200ac_5G,仅使用802.11ac,161,80 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
74,5 GHz,Linksys1200ac_5G,仅使用802.11a/n,153,自动,无,,rx tx,TCP,,,否,
75,5 GHz,Linksys1200ac_5G,仅使用802.11a/n,157,仅使用20 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
76,5 GHz,Linksys1200ac_5G,仅使用802.11a/n,161,40 MHz,无,,rx tx,TCP,,,否,
77,5 GHz,Linksys1200ac_5G,仅使用802.11a/n,165,自动,WPA2个人,12345678,rx tx,TCP,,,否,
78,5 GHz,Linksys1200ac_5G,仅使用802.11a/n,36,仅使用20 MHz,无,,rx tx,TCP,,,否,
79,5 GHz,Linksys1200ac_5G,仅使用802.11a/n,40,40 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
80,5 GHz,Linksys1200ac_5G,仅使用802.11n,48,自动,无,,rx tx,TCP,,,否,
81,5 GHz,Linksys1200ac_5G,仅使用802.11n,149,自动,WPA2个人,12345678,rx tx,TCP,,,否,
82,5 GHz,Linksys1200ac_5G,仅使用802.11n,165,仅使用20 MHz,无,,rx tx,TCP,,,是,NONE
83,5 GHz,Linksys1200ac_5G,仅使用802.11n,153,仅使用20 MHz,WPA2个人,12345678,rx tx,TCP,,,是,PSK
84,5 GHz,Linksys1200ac_5G,仅使用802.11n,157,40 MHz,无,,rx tx,TCP,,,否,
85,5 GHz,Linksys1200ac_5G,仅使用802.11n,161,40 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
86,5 GHz,Linksys1200ac_5G,仅使用802.11a,36,自动,无,,rx tx,TCP,,,否,
87,5 GHz,Linksys1200ac_5G,仅使用802.11a,40,自动,WEP,,rx tx,TCP,40/64位（10个十六进制数字）,1234567890,否,
88,5 GHz,Linksys1200ac_5G,仅使用802.11a,44,自动,WEP,,rx tx,TCP,104/128位（26个十六进制数字）,1.23456789012346E+025,否,
89,5 GHz,Linksys1200ac_5G,仅使用802.11a,48,自动,WPA2个人,12345678,rx tx,TCP,,,否,
90,5 GHz,Linksys1200ac_5G,仅使用802.11a,149,自动,WPA2/WPA混合个人模式,12345678,rx tx,TCP,,,否,
91,5 GHz,Linksys1200ac_5G,仅使用802.11a,153,仅使用20 MHz,无,,rx tx,TCP,,,否,
92,5 GHz,Linksys1200ac_5G,仅使用802.11a,157,仅使用20 MHz,WEP,,rx tx,TCP,40/64位（10个十六进制数字）,1234567890,否,
93,5 GHz,Linksys1200ac_5G,仅使用802.11a,161,仅使用20 MHz,WEP,,rx tx,TCP,104/128位（26个十六进制数字）,1.23456789012346E+025,否,
94,5 GHz,Linksys1200ac_5G,仅使用802.11a,36,仅使用20 MHz,WPA2个人,12345678,rx tx,TCP,,,否,
95,5 GHz,Linksys1200ac_5G,仅使用802.11a,40,仅使用20 MHz,WPA2/WPA混合个人模式,12345678,rx tx,TCP,,,否,
